program,routeOrSite,stationOrPoint,latitude,longitude
cwmp,cwmp1800,p2,45.899361,-84.838871
cwmp,cwmp181,p1,44.010563,-76.283882
cwmp,cwmp1818,p1,43.008554,-86.174222
cwmp,cwmp1818,p1M,43.021188,-86.188293
cwmp,cwmp182,p1,43.991632,-76.263602
cwmp,cwmp1823,p1,42.124667,-86.459149
cwmp,cwmp1823,p2,42.125625,-86.450304
cwmp,cwmp1823,p3,42.143492,-86.419186
cwmp,cwmp1823,p4,42.144985,-86.40719
cwmp,cwmp1823,p5,42.157759,-86.382625
cwmp,cwmp1823,p6,42.159873,-86.379356
cwmp,cwmp1830,p1,43.057937,-78.986139
cwmp,cwmp1830,p2,43.059346,-78.994713
cwmp,cwmp184,p1,44.032796,-76.280662
cwmp,cwmp1840,p1,42.165536,-80.08419
cwmp,cwmp1841,p1,42.15411304,-80.09391496
cwmp,cwmp1841,p2,42.159285,-80.118132
cwmp,cwmp1844,p1,42.127059,-80.143304
cwmp,cwmp1847,p1,41.73420802,-81.30185701
cwmp,cwmp1847,p1M,41.752122,-81.291554
cwmp,cwmp1847,p2,41.733204,-81.31071
cwmp,cwmp1847,p3,41.730124,-81.31961
cwmp,cwmp1847,p4,41.726141,-81.33794
cwmp,cwmp1849,p1,41.382608,-82.514442
cwmp,cwmp1849,p2,41.377243,-82.510094
cwmp,cwmp1851,p1,41.374791,-82.546598
cwmp,cwmp1851,p2,41.355486,-82.554443
cwmp,cwmp1851,p3,41.349987,-82.554952
cwmp,cwmp1851,p4,41.37445,-82.55756
cwmp,cwmp1855,p1,41.4219,-82.621629
cwmp,cwmp1855,p1M,41.421438,-82.6202
cwmp,cwmp1859,p1,41.42511,-82.625381
cwmp,cwmp1859,p2,41.425088,-82.625299
cwmp,cwmp186,p1,44.05269692,-76.27377022
cwmp,cwmp1862,p1,41.425103,-82.637602
cwmp,cwmp1862,p4,41.428015,-82.63768402
cwmp,cwmp1863,p1,41.428577,-82.661891
cwmp,cwmp1864,p1,41.44083,-82.66491
cwmp,cwmp1864,p2,41.438992,-82.678137
cwmp,cwmp1864,p3,41.448619,-82.670455
cwmp,cwmp1864,p4,41.449264,-82.666397
cwmp,cwmp1866,p1,41.466389,-82.804693
cwmp,cwmp1866,p2,41.463221,-82.800154
cwmp,cwmp1866,p3,41.459682,-82.793524
cwmp,cwmp1866,p4,41.4638753,-82.81820348
cwmp,cwmp1866,p5,41.456919,-82.817455
cwmp,cwmp1866,p6,41.4552,-82.791936
cwmp,cwmp1866,p7,41.469252,-82.810974
cwmp,cwmp1867,p1,41.434781,-82.880554
cwmp,cwmp1867,p2,41.436245,-82.871999
cwmp,cwmp1867,p3,41.43777,-82.864987
cwmp,cwmp1869,p1,41.479147,-82.969174
cwmp,cwmp1869,p2,41.46981,-82.98322
cwmp,cwmp1869,p3,41.462848,-83.004088
cwmp,cwmp1869,p4,41.42537,-83.033738
cwmp,cwmp1869,p5,41.427828,-83.004204
cwmp,cwmp1869,p6,41.436366,-82.96726
cwmp,cwmp187,p1,44.063161,-76.291282
cwmp,cwmp1870,p1,41.492506,-82.941225
cwmp,cwmp1870,p1M,41.493978,-82.941109
cwmp,cwmp1870,p2,41.494661,-82.944442
cwmp,cwmp1870,p3,41.491284,-82.958039
cwmp,cwmp1872,p1,41.499745,-82.850901
cwmp,cwmp1873,p1,41.426357,-82.963089
cwmp,cwmp1873,p2,41.43117,-82.962316
cwmp,cwmp1873,p3,41.41848888,-82.94666184
cwmp,cwmp1873,p4,41.414995,-82.951021
cwmp,cwmp1873,p5,41.410789,-82.953252
cwmp,cwmp1873,p6,41.42890398,-82.96257899
cwmp,cwmp1873,p7,41.40997,-82.948283
cwmp,cwmp1873,p8,41.415809,-82.944809
cwmp,cwmp188,p1,44.050648,-76.288269
cwmp,cwmp1880,p1,41.542342,-82.790014
cwmp,cwmp1880,p1M,41.542943,-82.790726
cwmp,cwmp1882,p1,41.514245,-82.929064
cwmp,cwmp1883,p1,41.52446,-82.97419
cwmp,cwmp1883,p2,41.526465,-83.010843
cwmp,cwmp1883,p3,41.530715,-83.016033
cwmp,cwmp1883,p4,41.54111,-83.00783
cwmp,cwmp1883,p5,41.537546,-83.00141
cwmp,cwmp1885,p1,41.58793,-83.089181
cwmp,cwmp1885,p1M,41.557443,-83.071742
cwmp,cwmp1885,p2,41.606424,-83.086863
cwmp,cwmp1885,p3,41.611797,-83.102984
cwmp,cwmp1885,p4,41.579721,-83.0773
cwmp,cwmp1885,p5,41.5808,-83.074138
cwmp,cwmp1888,p1,41.611042,-83.193103
cwmp,cwmp1888,p2,41.627099,-83.186047
cwmp,cwmp1888,p3,41.61867,-83.239975
cwmp,cwmp1888,p4,41.623066,-83.201993
cwmp,cwmp1888,p5,41.622701,-83.211091
cwmp,cwmp1888,p6,41.618861,-83.207783
cwmp,cwmp1888,p7,41.62079,-83.21112
cwmp,cwmp1888,p8,41.624125,-83.207119
cwmp,cwmp1889,p1,41.640269,-83.25123
cwmp,cwmp1889,p2,41.646928,-83.247253
cwmp,cwmp1889,p3,41.64976,-83.238187
cwmp,cwmp1890,p1,41.67167,-83.312531
cwmp,cwmp1890,p2,41.674926,-83.331612
cwmp,cwmp1896,p1,41.734672,-83.470142
cwmp,cwmp1896,p2,41.743413,-83.474885
cwmp,cwmp1896,p3,41.750344,-83.472954
cwmp,cwmp1896,p3M,41.750335,-83.472922
cwmp,cwmp1896,p4,41.75069,-83.479736
cwmp,cwmp1898,p1,41.769693,-83.444242
cwmp,cwmp1900,p1,41.788952,-83.471527
cwmp,cwmp1903,p1,41.829744,-83.416055
cwmp,cwmp1903,p2,41.820741,-83.430669
cwmp,cwmp1904,p1,41.855251,-83.432235
cwmp,cwmp1904,p2,41.850461,-83.429504
cwmp,cwmp1904,p3,41.845802,-83.411299
